{'DATE/TIME': '19/12/2022 10:51:54', 'COI': 1630940, 'POI': 836584, 'CALL CHNG OI': 195820, 'PUT CHNG OI': 390383, 'PCR': 0.5129459084944878, 'CHPCR': 1.9935808395465222, 'OI Difference': -794356}
{'DATE/TIME': '19/12/2022 10:52:18', 'COI': 1517451, 'POI': 1367573, 'CALL CHNG OI': 188685, 'PUT CHNG OI': 566154, 'PCR': 0.9012304186428425, 'CHPCR': 3.000524683997138, 'OI Difference': -149878}
{'DATE/TIME': '19/12/2022 10:52:42', 'COI': 1193319, 'POI': 1130279, 'CALL CHNG OI': 170494, 'PUT CHNG OI': 470220, 'PCR': 0.9471725498378891, 'CHPCR': 2.7579856182622264, 'OI Difference': -63040}
{'DATE/TIME': '19/12/2022 10:55:43', 'COI': 1315669, 'POI': 1136524, 'CALL CHNG OI': 179093, 'PUT CHNG OI': 476465, 'PCR': 0.8638373329462046, 'CHPCR': 2.6604334061074413, 'OI Difference': -179145}
{'DATE/TIME': '19/12/2022 10:58:43', 'COI': 1315669, 'POI': 1136524, 'CALL CHNG OI': 179093, 'PUT CHNG OI': 476465, 'PCR': 0.8638373329462046, 'CHPCR': 2.6604334061074413, 'OI Difference': -179145}
{'DATE/TIME': '19/12/2022 11:01:44', 'COI': 1316837, 'POI': 1141589, 'CALL CHNG OI': 180261, 'PUT CHNG OI': 481530, 'PCR': 0.866917469664051, 'CHPCR': 2.671293291394145, 'OI Difference': -175248}
{'DATE/TIME': '19/12/2022 11:04:45', 'COI': 1327164, 'POI': 1135156, 'CALL CHNG OI': 190588, 'PUT CHNG OI': 475097, 'PCR': 0.8553245868634171, 'CHPCR': 2.4927959787604674, 'OI Difference': -192008}
{'DATE/TIME': '19/12/2022 11:07:45', 'COI': 1335382, 'POI': 1132350, 'CALL CHNG OI': 198806, 'PUT CHNG OI': 472291, 'PCR': 0.8479596100591441, 'CHPCR': 2.375637556210577, 'OI Difference': -203032}
{'DATE/TIME': '19/12/2022 11:10:46', 'COI': 1337536, 'POI': 1135934, 'CALL CHNG OI': 200960, 'PUT CHNG OI': 475875, 'PCR': 0.8492735896454375, 'CHPCR': 2.3680085589171975, 'OI Difference': -201602}
{'DATE/TIME': '19/12/2022 11:13:47', 'COI': 1342902, 'POI': 1136939, 'CALL CHNG OI': 206326, 'PUT CHNG OI': 476880, 'PCR': 0.8466284211357195, 'CHPCR': 2.311293777807935, 'OI Difference': -205963}
{'DATE/TIME': '19/12/2022 11:16:47', 'COI': 1344046, 'POI': 1137859, 'CALL CHNG OI': 207470, 'PUT CHNG OI': 477800, 'PCR': 0.8465923041324478, 'CHPCR': 2.302983563888755, 'OI Difference': -206187}
{'DATE/TIME': '19/12/2022 11:19:48', 'COI': 1348026, 'POI': 1140909, 'CALL CHNG OI': 211450, 'PUT CHNG OI': 480850, 'PCR': 0.8463553373599619, 'CHPCR': 2.2740600614802555, 'OI Difference': -207117}
{'DATE/TIME': '19/12/2022 11:22:48', 'COI': 1349289, 'POI': 1144083, 'CALL CHNG OI': 212713, 'PUT CHNG OI': 484024, 'PCR': 0.8479154576966091, 'CHPCR': 2.2754791667646077, 'OI Difference': -205206}
{'DATE/TIME': '19/12/2022 11:25:49', 'COI': 1345487, 'POI': 1151337, 'CALL CHNG OI': 208911, 'PUT CHNG OI': 491278, 'PCR': 0.8557028050066631, 'CHPCR': 2.351613845130223, 'OI Difference': -194150}
{'DATE/TIME': '19/12/2022 11:28:50', 'COI': 1345487, 'POI': 1151337, 'CALL CHNG OI': 208911, 'PUT CHNG OI': 491278, 'PCR': 0.8557028050066631, 'CHPCR': 2.351613845130223, 'OI Difference': -194150}
{'DATE/TIME': '19/12/2022 11:31:50', 'COI': 1345487, 'POI': 1151337, 'CALL CHNG OI': 208911, 'PUT CHNG OI': 491278, 'PCR': 0.8557028050066631, 'CHPCR': 2.351613845130223, 'OI Difference': -194150}
{'DATE/TIME': '20/12/2022 00:43:44', 'COI': 1080926, 'POI': 1043728, 'CALL CHNG OI': -55650, 'PUT CHNG OI': 383669, 'PCR': 0.9655869134427334, 'CHPCR': -6.894321653189578, 'OI Difference': -37198}
{'DATE/TIME': '20/12/2022 00:44:18', 'COI': 1153260, 'POI': 1000494, 'CALL CHNG OI': -58453, 'PUT CHNG OI': 363825, 'PCR': 0.8675355080380833, 'CHPCR': -6.224231433801516, 'OI Difference': -152766}
{'DATE/TIME': '20/12/2022 09:06:07', 'COI': 1153260, 'POI': 1000494, 'CALL CHNG OI': -58453, 'PUT CHNG OI': 363825, 'PCR': 0.8675355080380833, 'CHPCR': -6.224231433801516, 'OI Difference': -152766}
{'DATE/TIME': '20/12/2022 09:06:11', 'COI': 1153260, 'POI': 1000494, 'CALL CHNG OI': -58453, 'PUT CHNG OI': 363825, 'PCR': 0.8675355080380833, 'CHPCR': -6.224231433801516, 'OI Difference': -152766}
{'DATE/TIME': '20/12/2022 09:09:15', 'COI': 1080926, 'POI': 1043728, 'CALL CHNG OI': -55650, 'PUT CHNG OI': 383669, 'PCR': 0.9655869134427334, 'CHPCR': -6.894321653189578, 'OI Difference': -37198}
{'DATE/TIME': '20/12/2022 09:12:15', 'COI': 1080926, 'POI': 1043728, 'CALL CHNG OI': -55650, 'PUT CHNG OI': 383669, 'PCR': 0.9655869134427334, 'CHPCR': -6.894321653189578, 'OI Difference': -37198}
{'DATE/TIME': '20/12/2022 09:15:09', 'COI': 76618, 'POI': 117462, 'CALL CHNG OI': 2413, 'PUT CHNG OI': 8183, 'PCR': 1.533086219948315, 'CHPCR': 3.3912142561127228, 'OI Difference': 40844}
{'DATE/TIME': '20/12/2022 09:15:47', 'COI': 76618, 'POI': 117462, 'CALL CHNG OI': 2413, 'PUT CHNG OI': 8183, 'PCR': 1.533086219948315, 'CHPCR': 3.3912142561127228, 'OI Difference': 40844}
{'DATE/TIME': '20/12/2022 09:19:28', 'COI': 1080926, 'POI': 1043728, 'CALL CHNG OI': 0, 'PUT CHNG OI': 0, 'PCR': 0.9655869134427334, 'CHPCR': nan, 'OI Difference': -37198}
{'DATE/TIME': '20/12/2022 09:19:58', 'COI': 1006410, 'POI': 1137626, 'CALL CHNG OI': 83684, 'PUT CHNG OI': -18868, 'PCR': 1.1303802625172643, 'CHPCR': -0.22546723387983367, 'OI Difference': 131216}
{'DATE/TIME': '20/12/2022 09:21:22', 'COI': 936706, 'POI': 1190412, 'CALL CHNG OI': 79419, 'PUT CHNG OI': -20756, 'PCR': 1.270849124485164, 'CHPCR': -0.26134804014152785, 'OI Difference': 253706}
